"","Operetta_well","source","layout_type","line","source_line","systematic","ANCvsEVO","rank_by_","X96_plate","X96_well","medium","plasmid","background","mutation","mutation_size","Filename","DAPI_stock","Alexa_stock","type","mutants_per_plate","replicates_per_plate","fixing","cellwall_stain","DAPI._stain","screen","staining_with_glass_bead","culture_with_glass_beads","comment"
"1","A01","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"2","A02","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"3","A03","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"4","A04","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"5","A05","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"6","A06","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"7","A07","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"8","A08","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"9","A09","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"10","A10","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"11","A11","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
"12","A12","morph-fitness-pl1","m13_layout","BLANK","morph-fitness-pl1_BLANK","BLANK","BLANK","BLANK","BLANK","BLANK","YPD","BLANK","BLANK",NA,NA,"170621_morphology_plate1_m13__2017-06-21T13_32_06-Measurement1",20170208,20170608,"epifluor",3,5,20170620,20170620,20170621,20170621,0,0,""
