gene,ORF,ANCvsEVO,lines,source_96plate,source_96well,ambigous,ploidy_curated,comment,ancestors,genseq_VS_bela_ambi,missing,missingWT,ploidy_semifinal,Bela_ploidy,ploidy_of_ancestors,ploidy_of_genseq_VS_bela_ambi,ploidy_of_missing,ploidy_of_missingWT,ploidy_of_ploidy_semifinal,ploidy_of_Bela_ploidy,WGS
ADK1,YDR226W,ancestor,ADK1.YDR226W.ancestor,2C,H4,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ADK1,YDR226W,evolved.1,ADK1.YDR226W.evolved.1,2C,H4,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
ARC1,YGL105W,ancestor,ARC1.YGL105W.ancestor,5C,G5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ARC1,YGL105W,evolved.1,ARC1.YGL105W.evolved.1,5C,G5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
ARP5,YNL059C,ancestor,ARP5.YNL059C.ancestor,6B,G12,NA,dip,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
ARP5,YNL059C,evolved.1,ARP5.YNL059C.evolved.1,6B,G12,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,ancestor,HIS3.YOR202W.ancestor,Y75,tube,NA,hap,NA,hap,NA,NA,hap,NA,NA,1,NA,NA,1,NA,NA,NA
HIS3,YOR202W,evolved.1,HIS3.YOR202W.evolved.1,2A,D3,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
HIS3,YOR202W,evolved.2,HIS3.YOR202W.evolved.2,2A,D5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
ATP1,YBL099W,ancestor,ATP1.YBL099W.ancestor,4C,C2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ATP1,YBL099W,evolved.1,ATP1.YBL099W.evolved.1,4C,C2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
ATP1,YBL099W,evolved.2,ATP1.YBL099W.evolved.2,4C,H12,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
ATP11,YNL315C,ancestor,ATP11.YNL315C.ancestor,6A,D7,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ATP11,YNL315C,evolved.1,ATP11.YNL315C.evolved.1,6A,D7,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
ATP11,YNL315C,evolved.2,ATP11.YNL315C.evolved.2,6B,B6,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
ATP15,YPL271W,ancestor,ATP15.YPL271W.ancestor,1B,B4,NA,dip,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
ATP15,YPL271W,evolved.1,ATP15.YPL271W.evolved.1,1B,B4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
ATP15,YPL271W,evolved.2,ATP15.YPL271W.evolved.2,1B,G12,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
BEM4,YPL161C,ancestor,BEM4.YPL161C.ancestor,1A,D8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BEM4,YPL161C,evolved.1,BEM4.YPL161C.evolved.1,1A,D8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
BEM4,YPL161C,evolved.2,BEM4.YPL161C.evolved.2,1B,B8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
BUR2,YLR226W,ancestor,BUR2.YLR226W.ancestor,6A,B11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BUR2,YLR226W,evolved.1,BUR2.YLR226W.evolved.1,6A,B11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
BUR2,YLR226W,evolved.2,BUR2.YLR226W.evolved.2,6B,A2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
IBA57,YJR122W,ancestor,IBA57.YJR122W.ancestor,4C,F6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
IBA57,YJR122W,evolved.1,IBA57.YJR122W.evolved.1,4C,F6,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
IBA57,YJR122W,evolved.2,IBA57.YJR122W.evolved.2,4B,B9,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
CDC50,YCR094W,ancestor,CDC50.YCR094W.ancestor,3A,H8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
CDC50,YCR094W,evolved.1,CDC50.YCR094W.evolved.1,3A,H8,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
CDC73,YLR418C,ancestor,CDC73.YLR418C.ancestor,2B,H9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
CDC73,YLR418C,evolved.1,CDC73.YLR418C.evolved.1,2B,H9,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
CNM67,YNL225C,ancestor,CNM67.YNL225C.ancestor,6C,C3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
CNM67,YNL225C,evolved.1,CNM67.YNL225C.evolved.1,6C,C3,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
COG1,YGL223C,ancestor,COG1.YGL223C.ancestor,5C,B3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
COG1,YGL223C,evolved.1,COG1.YGL223C.evolved.1,5C,B3,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
COQ3,YOL096C,ancestor,COQ3.YOL096C.ancestor,3C,B6,NA,hap,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
COQ3,YOL096C,evolved.1,COQ3.YOL096C.evolved.1,3C,B6,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
COQ4,YDR204W,ancestor,COQ4.YDR204W.ancestor,2C,H2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
COQ4,YDR204W,evolved.1,COQ4.YDR204W.evolved.1,2C,H2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
CTK3,YML112W,ancestor,CTK3.YML112W.ancestor,6A,G6,NA,tet,NA,tet,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
CTK3,YML112W,evolved.1,CTK3.YML112W.evolved.1,6A,G6,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
CTK3,YML112W,evolved.2,CTK3.YML112W.evolved.2,6B,E6,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
DBF2,YGR092W,ancestor,DBF2.YGR092W.ancestor,5A,H6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
DBF2,YGR092W,evolved.1,DBF2.YGR092W.evolved.1,5A,H6,NA,hap,NA,NA,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA
DBF2,YGR092W,evolved.2,DBF2.YGR092W.evolved.2,5B,F5,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
EXO5,YBR163W,ancestor,EXO5.YBR163W.ancestor,5C,F3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
EXO5,YBR163W,evolved.1,EXO5.YBR163W.evolved.1,5C,F3,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
EXO5,YBR163W,evolved.2,EXO5.YBR163W.evolved.2,5A,D7,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
DHH1,YDL160C,ancestor,DHH1.YDL160C.ancestor,6A,H2,NA,dip,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
DHH1,YDL160C,evolved.1,DHH1.YDL160C.evolved.1,6A,H2,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
DHH1,YDL160C,evolved.2,DHH1.YDL160C.evolved.2,6B,F1,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
DOC1,YGL240W,ancestor,DOC1.YGL240W.ancestor,5C,B6,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
DOC1,YGL240W,evolved.1,DOC1.YGL240W.evolved.1,5C,B6,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
DOC1,YGL240W,evolved.2,DOC1.YGL240W.evolved.2,5B,D7,1,hap/dip,NA,NA,NA,hapa/dip,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA
EAP1,YKL204W,ancestor,EAP1.YKL204W.ancestor,5A,H11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
EAP1,YKL204W,evolved.1,EAP1.YKL204W.evolved.1,5A,H11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
